win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Ratchanok Intanon,opponent goes out of bounds,lob,goes out of bounds,0,1
An Se Young,opponent hits the net,push,hits the net,1,1
Ratchanok Intanon,wins by landing,smash,opponent wins by landing,1,2
Ratchanok Intanon,opponent hits the net,smash,hits the net,1,3
Ratchanok Intanon,wins by landing,push,opponent wins by landing,1,4
Ratchanok Intanon,opponent goes out of bounds,lob,goes out of bounds,1,5
Ratchanok Intanon,wins by landing,smash,opponent wins by landing,1,6
An Se Young,opponent hits the net,net shot,hits the net,2,6
Ratchanok Intanon,opponent hits the net,net shot,hits the net,2,7
Ratchanok Intanon,opponent goes out of bounds,push,goes out of bounds,2,8
An Se Young,opponent hits the net,return net,hits the net,3,8
An Se Young,opponent fails to clear the net,net shot,fails to clear the net,4,8
An Se Young,opponent hits the net,net shot,hits the net,6,8
An Se Young,wins by landing,back-court drive,opponent wins by landing,7,8
Ratchanok Intanon,wins by landing,smash,opponent wins by landing,7,9
Ratchanok Intanon,opponent hits the net,net shot,hits the net,7,10
Ratchanok Intanon,opponent fails to clear the net,return net,fails to clear the net,7,11
An Se Young,wins by landing,smash,opponent wins by landing,8,11
An Se Young,opponent goes out of bounds,push,goes out of bounds,9,11
Ratchanok Intanon,wins by landing,cross-court net shot,opponent wins by landing,9,12
An Se Young,opponent goes out of bounds,push,goes out of bounds,10,12
An Se Young,opponent hits the net,drop,hits the net,11,12
An Se Young,opponent goes out of bounds,smash,goes out of bounds,12,12
An Se Young,opponent goes out of bounds,cross-court net shot,goes out of bounds,13,12
An Se Young,opponent hits the net,cross-court net shot,hits the net,14,12
An Se Young,opponent goes out of bounds,defensive return lob,goes out of bounds,15,12
Ratchanok Intanon,opponent hits the net,net shot,hits the net,15,13
An Se Young,wins by landing,drop,opponent wins by landing,16,13
Ratchanok Intanon,opponent hits the net,return net,hits the net,16,14
Ratchanok Intanon,wins by landing,cross-court net shot,opponent wins by landing,16,15
An Se Young,opponent hits the net,rush,hits the net,17,15
Ratchanok Intanon,opponent goes out of bounds,defensive return drive,goes out of bounds,17,16
An Se Young,wins by landing,smash,opponent wins by landing,18,16
Ratchanok Intanon,wins by landing,lob,opponent wins by landing,18,17
An Se Young,wins by landing,push,opponent wins by landing,19,17
Ratchanok Intanon,wins by landing,cross-court net shot,opponent wins by landing,19,18
An Se Young,wins by landing,push,opponent wins by landing,20,18
Ratchanok Intanon,opponent goes out of bounds,push,goes out of bounds,20,19
Ratchanok Intanon,opponent fails to clear the net,return net,fails to clear the net,20,20
An Se Young,opponent hits the net,net shot,hits the net,21,20
An Se Young,opponent fails to clear the net,net shot,fails to clear the net,22,20
