HSBC BWF WORLD TOUR FINALS 2020 Finals: Anders Antonsen v.s. Viktor Axelsen

Set 1:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Anders Antonsen,opponent goes out of bounds,lob,goes out of bounds,1,0
Anders Antonsen,wins by landing,smash,opponent wins by landing,2,0
Viktor Axelsen,opponent fails to clear the net,lob,fails to clear the net,2,1
Anders Antonsen,opponent hits the net,wrist smash,hits the net,3,1
Viktor Axelsen,wins by landing,smash,opponent wins by landing,3,2
Anders Antonsen,wins by landing,net shot,opponent wins by landing,4,2
Viktor Axelsen,wins by landing,smash,opponent wins by landing,4,3
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,5,4
Viktor Axelsen,opponent hits the net,net shot,hits the net,5,5
Anders Antonsen,opponent hits the net,net shot,hits the net,6,5
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,6,6
Viktor Axelsen,wins by landing,smash,opponent wins by landing,6,7
Anders Antonsen,opponent goes out of bounds,lob,goes out of bounds,7,7
Viktor Axelsen,wins by landing,smash,opponent wins by landing,7,8
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,7,9
Anders Antonsen,opponent goes out of bounds,defensive return drive,goes out of bounds,8,9
Anders Antonsen,opponent goes out of bounds,back-court drive,goes out of bounds,9,9
Anders Antonsen,wins by landing,smash,opponent wins by landing,10,9
Anders Antonsen,opponent goes out of bounds,lob,goes out of bounds,11,9
Anders Antonsen,wins by landing,lob,opponent wins by landing,12,9
Anders Antonsen,wins by landing,smash,opponent wins by landing,13,9
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,13,10
Anders Antonsen,opponent goes out of bounds,lob,goes out of bounds,14,10
Viktor Axelsen,wins by landing,rush,opponent wins by landing,14,11
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,14,12
Viktor Axelsen,opponent hits the net,cross-court net shot,hits the net,14,13
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,14,14
Anders Antonsen,opponent goes out of bounds,push,goes out of bounds,15,14
Anders Antonsen,opponent goes out of bounds,push,goes out of bounds,16,14
Anders Antonsen,opponent goes out of bounds,lob,goes out of bounds,17,14
Viktor Axelsen,opponent hits the net,net shot,hits the net,17,15
Anders Antonsen,wins by landing,smash,opponent wins by landing,18,15
Anders Antonsen,opponent goes out of bounds,net shot,goes out of bounds,19,15
Anders Antonsen,opponent hits the net,smash,hits the net,20,15
Viktor Axelsen,opponent goes out of bounds,drop,goes out of bounds,20,16
Anders Antonsen,wins by landing,wrist smash,opponent wins by landing,21,16


Set 2:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Viktor Axelsen,opponent goes out of bounds,rush,goes out of bounds,0,1
Viktor Axelsen,wins by landing,long service,opponent wins by landing,0,2
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,0,3
Viktor Axelsen,opponent hits the net,net shot,hits the net,0,4
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,0,5
Anders Antonsen,wins by landing,smash,opponent wins by landing,1,5
Viktor Axelsen,opponent hits the net,drop,hits the net,1,6
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,1,7
Viktor Axelsen,opponent hits the net,net shot,hits the net,1,8
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,1,9
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,1,10
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,1,11
Viktor Axelsen,opponent hits the net,net shot,hits the net,1,12
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,1,13
Anders Antonsen,opponent goes out of bounds,long service,goes out of bounds,2,13
Anders Antonsen,opponent fails to clear the net,return net,fails to clear the net,3,13
Viktor Axelsen,opponent goes out of bounds,cross-court net shot,goes out of bounds,3,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,3,15
Viktor Axelsen,opponent hits the net,wrist smash,hits the net,3,16
Anders Antonsen,opponent goes out of bounds,smash,goes out of bounds,4,16
Viktor Axelsen,wins by landing,lob,opponent wins by landing,4,17
Viktor Axelsen,opponent goes out of bounds,return net,goes out of bounds,4,18
