win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Viktor Axelsen,opponent goes out of bounds,rush,goes out of bounds,0,1
Viktor Axelsen,wins by landing,long service,opponent wins by landing,0,2
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,0,3
Viktor Axelsen,opponent hits the net,net shot,hits the net,0,4
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,0,5
Anders Antonsen,wins by landing,smash,opponent wins by landing,1,5
Viktor Axelsen,opponent hits the net,drop,hits the net,1,6
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,1,7
Viktor Axelsen,opponent hits the net,net shot,hits the net,1,8
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,1,9
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,1,10
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,1,11
Viktor Axelsen,opponent hits the net,net shot,hits the net,1,12
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,1,13
Anders Antonsen,opponent goes out of bounds,long service,goes out of bounds,2,13
Anders Antonsen,opponent fails to clear the net,return net,fails to clear the net,3,13
Viktor Axelsen,opponent goes out of bounds,cross-court net shot,goes out of bounds,3,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,3,15
Viktor Axelsen,opponent hits the net,wrist smash,hits the net,3,16
Anders Antonsen,opponent goes out of bounds,smash,goes out of bounds,4,16
Viktor Axelsen,wins by landing,lob,opponent wins by landing,4,17
Viktor Axelsen,opponent goes out of bounds,return net,goes out of bounds,4,18
Anders Antonsen,wins by landing,smash,opponent wins by landing,5,18
Viktor Axelsen,opponent goes out of bounds,passive drop,goes out of bounds,5,19
Viktor Axelsen,wins by landing,long service,opponent wins by landing,5,20
Viktor Axelsen,opponent goes out of bounds,passive drop,goes out of bounds,5,21
