YONEX Thailand Open 2021 QuarterFinals: Anthony Sinisuka Ginting v.s. Rasmus Gemke

Set 1:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Anthony Sinisuka Ginting,opponent goes out of bounds,back-court drive,goes out of bounds,1,0
Anthony Sinisuka Ginting,wins by landing,wrist smash,opponent wins by landing,2,0
Rasmus Gemke,wins by landing,wrist smash,opponent wins by landing,2,1
Anthony Sinisuka Ginting,opponent goes out of bounds,net shot,goes out of bounds,3,1
Anthony Sinisuka Ginting,wins by landing,return net,opponent wins by landing,4,1
Rasmus Gemke,wins by landing,clear,opponent wins by landing,4,2
Rasmus Gemke,wins by landing,lob,opponent wins by landing,4,3
Rasmus Gemke,opponent hits the net,push,hits the net,4,5
Anthony Sinisuka Ginting,opponent fails to clear the net,return net,fails to clear the net,5,5
Anthony Sinisuka Ginting,opponent goes out of bounds,lob,goes out of bounds,6,5
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,7,5
Rasmus Gemke,opponent goes out of bounds,clear,goes out of bounds,7,6
Rasmus Gemke,opponent hits the net,push,hits the net,7,7
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,8,7
Anthony Sinisuka Ginting,opponent fails to clear the net,return net,fails to clear the net,9,7
Rasmus Gemke,opponent goes out of bounds,wrist smash,goes out of bounds,9,8
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,9,9
Rasmus Gemke,opponent hits the net,passive drop,hits the net,9,10
Anthony Sinisuka Ginting,opponent fails to clear the net,passive drop,fails to clear the net,10,10
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,11,10
Anthony Sinisuka Ginting,opponent goes out of bounds,push,goes out of bounds,12,10
Rasmus Gemke,opponent goes out of bounds,smash,goes out of bounds,12,11
Anthony Sinisuka Ginting,opponent goes out of bounds,smash,goes out of bounds,13,11
Rasmus Gemke,opponent goes out of bounds,passive drop,goes out of bounds,13,12
Rasmus Gemke,wins by landing,push,opponent wins by landing,13,13
Anthony Sinisuka Ginting,wins by landing,push,opponent wins by landing,14,13
Rasmus Gemke,opponent goes out of bounds,wrist smash,goes out of bounds,14,14
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,15,14
Anthony Sinisuka Ginting,opponent goes out of bounds,push,goes out of bounds,16,14
Anthony Sinisuka Ginting,opponent goes out of bounds,clear,goes out of bounds,17,14
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,18,14
Anthony Sinisuka Ginting,opponent goes out of bounds,lob,goes out of bounds,19,14
Anthony Sinisuka Ginting,wins by landing,drop,opponent wins by landing,20,14
Anthony Sinisuka Ginting,opponent fails to clear the net,cross-court net shot,fails to clear the net,21,14


Set 2:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Rasmus Gemke,opponent hits the net,cross-court net shot,hits the net,0,1
Rasmus Gemke,opponent hits the net,net shot,hits the net,0,2
Anthony Sinisuka Ginting,opponent goes out of bounds,drop,goes out of bounds,1,2
Anthony Sinisuka Ginting,opponent goes out of bounds,clear,goes out of bounds,2,2
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,2,3
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,3,3
Rasmus Gemke,opponent hits the net,net shot,hits the net,3,4
Rasmus Gemke,opponent hits the net,rush,hits the net,3,5
Anthony Sinisuka Ginting,opponent hits the net,return net,hits the net,4,5
Anthony Sinisuka Ginting,opponent goes out of bounds,smash,goes out of bounds,5,5
Rasmus Gemke,wins by landing,wrist smash,opponent wins by landing,5,6
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,6,6
Rasmus Gemke,opponent goes out of bounds,defensive return drive,goes out of bounds,6,7
Rasmus Gemke,opponent goes out of bounds,lob,goes out of bounds,6,8
Rasmus Gemke,opponent goes out of bounds,push,goes out of bounds,6,9
Rasmus Gemke,opponent goes out of bounds,cross-court net shot,goes out of bounds,6,10
Rasmus Gemke,wins by landing,smash,opponent wins by landing,6,11
Rasmus Gemke,wins by landing,rush,opponent wins by landing,6,12
Rasmus Gemke,opponent goes out of bounds,clear,goes out of bounds,6,13
Anthony Sinisuka Ginting,wins by landing,push,opponent wins by landing,7,13
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,7,14
Rasmus Gemke,wins by landing,rush,opponent wins by landing,7,15
Anthony Sinisuka Ginting,opponent goes out of bounds,lob,goes out of bounds,8,15
Rasmus Gemke,opponent fails to clear the net,return net,fails to clear the net,8,16
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,9,16
Anthony Sinisuka Ginting,wins by landing,wrist smash,opponent wins by landing,11,16
Anthony Sinisuka Ginting,wins by landing,return net,opponent wins by landing,12,16
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,13,16
Anthony Sinisuka Ginting,opponent fails to clear the net,return net,fails to clear the net,14,16
Anthony Sinisuka Ginting,opponent goes out of bounds,smash,goes out of bounds,15,16
Rasmus Gemke,opponent hits the net,smash,hits the net,15,17
Rasmus Gemke,opponent hits the net,drop,hits the net,15,18
Anthony Sinisuka Ginting,opponent goes out of bounds,defensive return drive,goes out of bounds,16,18
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,17,18
Rasmus Gemke,opponent goes out of bounds,smash,goes out of bounds,17,19
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,17,20
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,18,20
Anthony Sinisuka Ginting,wins by landing,return net,opponent wins by landing,19,20
Rasmus Gemke,wins by landing,smash,opponent wins by landing,19,21


Set 3:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Rasmus Gemke,opponent goes out of bounds,push,goes out of bounds,0,1
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,1,1
Anthony Sinisuka Ginting,wins by landing,net shot,opponent wins by landing,2,1
Anthony Sinisuka Ginting,opponent goes out of bounds,push,goes out of bounds,3,1
Anthony Sinisuka Ginting,opponent fails to clear the net,return net,fails to clear the net,4,1
Rasmus Gemke,opponent fails to clear the net,return net,fails to clear the net,5,2
Anthony Sinisuka Ginting,opponent hits the net,return net,hits the net,6,2
Rasmus Gemke,wins by landing,wrist smash,opponent wins by landing,6,3
Anthony Sinisuka Ginting,opponent hits the net,smash,hits the net,7,3
Rasmus Gemke,opponent goes out of bounds,drop,goes out of bounds,7,4
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,8,4
Rasmus Gemke,opponent goes out of bounds,drop,goes out of bounds,8,5
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,9,5
Anthony Sinisuka Ginting,opponent hits the net,net shot,hits the net,10,5
Anthony Sinisuka Ginting,opponent hits the net,drop,hits the net,11,5
Anthony Sinisuka Ginting,wins by landing,push,opponent wins by landing,12,5
Anthony Sinisuka Ginting,opponent goes out of bounds,clear,goes out of bounds,13,5
Anthony Sinisuka Ginting,opponent goes out of bounds,push,goes out of bounds,14,5
