win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Anthony Sinisuka Ginting,opponent goes out of bounds,back-court drive,goes out of bounds,1,0
Anthony Sinisuka Ginting,wins by landing,wrist smash,opponent wins by landing,2,0
Rasmus Gemke,wins by landing,wrist smash,opponent wins by landing,2,1
Anthony Sinisuka Ginting,opponent goes out of bounds,net shot,goes out of bounds,3,1
Anthony Sinisuka Ginting,wins by landing,return net,opponent wins by landing,4,1
Rasmus Gemke,wins by landing,clear,opponent wins by landing,4,2
Rasmus Gemke,wins by landing,lob,opponent wins by landing,4,3
Rasmus Gemke,opponent hits the net,push,hits the net,4,5
Anthony Sinisuka Ginting,opponent fails to clear the net,return net,fails to clear the net,5,5
Anthony Sinisuka Ginting,opponent goes out of bounds,lob,goes out of bounds,6,5
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,7,5
Rasmus Gemke,opponent goes out of bounds,clear,goes out of bounds,7,6
Rasmus Gemke,opponent hits the net,push,hits the net,7,7
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,8,7
Anthony Sinisuka Ginting,opponent fails to clear the net,return net,fails to clear the net,9,7
Rasmus Gemke,opponent goes out of bounds,wrist smash,goes out of bounds,9,8
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,9,9
Rasmus Gemke,opponent hits the net,passive drop,hits the net,9,10
Anthony Sinisuka Ginting,opponent fails to clear the net,passive drop,fails to clear the net,10,10
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,11,10
Anthony Sinisuka Ginting,opponent goes out of bounds,push,goes out of bounds,12,10
Rasmus Gemke,opponent goes out of bounds,smash,goes out of bounds,12,11
Anthony Sinisuka Ginting,opponent goes out of bounds,smash,goes out of bounds,13,11
Rasmus Gemke,opponent goes out of bounds,passive drop,goes out of bounds,13,12
Rasmus Gemke,wins by landing,push,opponent wins by landing,13,13
Anthony Sinisuka Ginting,wins by landing,push,opponent wins by landing,14,13
Rasmus Gemke,opponent goes out of bounds,wrist smash,goes out of bounds,14,14
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,15,14
Anthony Sinisuka Ginting,opponent goes out of bounds,push,goes out of bounds,16,14
Anthony Sinisuka Ginting,opponent goes out of bounds,clear,goes out of bounds,17,14
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,18,14
Anthony Sinisuka Ginting,opponent goes out of bounds,lob,goes out of bounds,19,14
Anthony Sinisuka Ginting,wins by landing,drop,opponent wins by landing,20,14
Anthony Sinisuka Ginting,opponent fails to clear the net,cross-court net shot,fails to clear the net,21,14
