win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Carolina Marin,opponent goes out of bounds,drop,goes out of bounds,1,0
Carolina Marin,opponent goes out of bounds,lob,goes out of bounds,2,0
Carolina Marin,opponent goes out of bounds,lob,goes out of bounds,3,0
Carolina Marin,wins by landing,rush,opponent wins by landing,4,0
Pornpawee Chochuwong,wins by landing,push,opponent wins by landing,4,1
Pornpawee Chochuwong,wins by landing,smash,opponent wins by landing,4,2
Carolina Marin,opponent goes out of bounds,lob,goes out of bounds,5,2
Carolina Marin,opponent goes out of bounds,clear,goes out of bounds,6,2
Pornpawee Chochuwong,wins by landing,smash,opponent wins by landing,6,3
Carolina Marin,opponent goes out of bounds,clear,goes out of bounds,7,3
Pornpawee Chochuwong,opponent hits the net,smash,hits the net,7,4
Carolina Marin,opponent fails to clear the net,net shot,fails to clear the net,8,4
Pornpawee Chochuwong,wins by landing,rush,opponent wins by landing,8,5
Carolina Marin,wins by landing,net shot,opponent wins by landing,9,5
Pornpawee Chochuwong,opponent goes out of bounds,drive,goes out of bounds,9,6
Pornpawee Chochuwong,opponent hits the net,smash,hits the net,9,7
Pornpawee Chochuwong,opponent fails to clear the net,net shot,fails to clear the net,9,8
Carolina Marin,opponent hits the net,short service,hits the net,10,8
Pornpawee Chochuwong,opponent fails to clear the net,drive,fails to clear the net,10,9
Carolina Marin,opponent goes out of bounds,wrist smash,goes out of bounds,11,9
Pornpawee Chochuwong,wins by landing,push,opponent wins by landing,11,10
Carolina Marin,wins by landing,net shot,opponent wins by landing,12,10
Carolina Marin,wins by landing,net shot,opponent wins by landing,13,10
Carolina Marin,wins by landing,smash,opponent wins by landing,14,10
Carolina Marin,opponent goes out of bounds,lob,goes out of bounds,15,10
Carolina Marin,wins by landing,smash,opponent wins by landing,16,10
Carolina Marin,wins by landing,drop,opponent wins by landing,17,10
Carolina Marin,opponent fails to clear the net,passive drop,fails to clear the net,18,10
Pornpawee Chochuwong,wins by landing,smash,opponent wins by landing,18,11
Pornpawee Chochuwong,opponent fails to clear the net,return net,fails to clear the net,18,12
Pornpawee Chochuwong,opponent goes out of bounds,drive,goes out of bounds,18,13
Carolina Marin,wins by landing,clear,opponent wins by landing,19,13
Carolina Marin,wins by landing,drop,opponent wins by landing,20,13
Carolina Marin,wins by landing,wrist smash,opponent wins by landing,21,13
