win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
CHOU Tien Chen,wins by landing,smash,opponent wins by landing,0,1
CHOU Tien Chen,wins by landing,smash,opponent wins by landing,0,2
Kento MOMOTA,opponent goes out of bounds,push,goes out of bounds,1,2
CHOU Tien Chen,opponent hits the net,drop,hits the net,2,3
Kento MOMOTA,wins by landing,smash,opponent wins by landing,3,3
CHOU Tien Chen,opponent fails to clear the net,defensive return drive,fails to clear the net,3,4
Kento MOMOTA,opponent goes out of bounds,push,goes out of bounds,4,4
Kento MOMOTA,opponent goes out of bounds,lob,goes out of bounds,5,4
Kento MOMOTA,opponent hits the net,net shot,hits the net,6,4
CHOU Tien Chen,wins by landing,smash,opponent wins by landing,6,5
Kento MOMOTA,opponent hits the net,net shot,hits the net,7,5
CHOU Tien Chen,opponent goes out of bounds,return net,goes out of bounds,7,6
CHOU Tien Chen,opponent goes out of bounds,lob,goes out of bounds,7,7
Kento MOMOTA,opponent goes out of bounds,lob,goes out of bounds,8,7
CHOU Tien Chen,opponent goes out of bounds,rush,goes out of bounds,9,8
CHOU Tien Chen,opponent goes out of bounds,clear,goes out of bounds,9,9
Kento MOMOTA,wins by landing,smash,opponent wins by landing,10,9
CHOU Tien Chen,opponent hits the net,wrist smash,hits the net,10,10
Kento MOMOTA,opponent goes out of bounds,clear,goes out of bounds,11,10
CHOU Tien Chen,wins by landing,smash,opponent wins by landing,11,11
CHOU Tien Chen,opponent goes out of bounds,lob,goes out of bounds,11,12
CHOU Tien Chen,opponent goes out of bounds,lob,goes out of bounds,11,13
Kento MOMOTA,opponent hits the net,net shot,hits the net,12,13
Kento MOMOTA,opponent goes out of bounds,lob,goes out of bounds,13,13
Kento MOMOTA,wins by landing,smash,opponent wins by landing,14,13
Kento MOMOTA,wins by landing,smash,opponent wins by landing,15,13
Kento MOMOTA,opponent fails to clear the net,return net,fails to clear the net,16,13
CHOU Tien Chen,opponent fails to clear the net,return net,fails to clear the net,16,14
Kento MOMOTA,wins by landing,lob,opponent wins by landing,17,14
Kento MOMOTA,opponent goes out of bounds,lob,goes out of bounds,18,14
Kento MOMOTA,unknown,drive,unknown,19,14
CHOU Tien Chen,opponent hits the net,net shot,hits the net,19,15
Kento MOMOTA,wins by landing,smash,opponent wins by landing,20,15
Kento MOMOTA,opponent goes out of bounds,push,goes out of bounds,21,15
