YONEX Thailand Open 2021 Finals: Viktor Axelsen v.s. Ng Ka Long Angus

Set 1:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Ng Ka Long Angus,wins by landing,push,opponent wins by landing,0,1
Viktor Axelsen,opponent hits the net,cross-court net shot,hits the net,1,1
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,2,1
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,3,1
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,4,1
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,6,1
Ng Ka Long Angus,opponent hits the net,net shot,hits the net,6,2
Ng Ka Long Angus,opponent hits the net,cross-court net shot,hits the net,6,3
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,7,3
Viktor Axelsen,wins by landing,smash,opponent wins by landing,8,3
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,8,4
Viktor Axelsen,opponent goes out of bounds,push,goes out of bounds,9,4
Ng Ka Long Angus,opponent goes out of bounds,push,goes out of bounds,9,5
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,9,6
Ng Ka Long Angus,wins by landing,cross-court net shot,opponent wins by landing,9,7
Viktor Axelsen,opponent hits the net,net shot,hits the net,10,7
Ng Ka Long Angus,wins by landing,push,opponent wins by landing,10,8
Ng Ka Long Angus,opponent goes out of bounds,lob,goes out of bounds,10,9
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,11,9
Ng Ka Long Angus,opponent goes out of bounds,clear,goes out of bounds,11,10
Viktor Axelsen,opponent landing judgment error,push,landing judgment error,12,11
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,12,12
Viktor Axelsen,wins by landing,smash,opponent wins by landing,13,12
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,14,12
Viktor Axelsen,opponent hits the net,cross-court net shot,hits the net,15,12
Viktor Axelsen,wins by landing,smash,opponent wins by landing,16,12
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,16,13
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,17,13
Ng Ka Long Angus,opponent landing judgment error,push,landing judgment error,17,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,18,14
Viktor Axelsen,opponent hits the net,smash,hits the net,19,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,20,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,21,14


Set 2:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Ng Ka Long Angus,wins by landing,drive,opponent wins by landing,0,1
Ng Ka Long Angus,opponent hits the net,return net,hits the net,0,2
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,0,3
Viktor Axelsen,opponent hits the net,drop,hits the net,1,3
Viktor Axelsen,opponent goes out of bounds,drop,goes out of bounds,2,3
Viktor Axelsen,opponent landing judgment error,smash,landing judgment error,3,3
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,4,3
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,4,4
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,5,4
Viktor Axelsen,opponent fails to clear the net,rush,fails to clear the net,6,4
Viktor Axelsen,opponent goes out of bounds,smash,goes out of bounds,7,4
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,8,4
Ng Ka Long Angus,wins by landing,smash,opponent wins by landing,8,5
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,8,6
Ng Ka Long Angus,wins by landing,smash,opponent wins by landing,8,7
Viktor Axelsen,opponent hits the net,net shot,hits the net,9,7
Ng Ka Long Angus,wins by landing,drop,opponent wins by landing,9,8
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,10,8
Ng Ka Long Angus,opponent goes out of bounds,smash,goes out of bounds,10,9
Ng Ka Long Angus,opponent hits the net,net shot,hits the net,10,10
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,11,10
Viktor Axelsen,opponent goes out of bounds,drop,goes out of bounds,12,10
Viktor Axelsen,opponent hits the net,drop,hits the net,13,10
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,14,10
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,15,10
Ng Ka Long Angus,opponent goes out of bounds,smash,goes out of bounds,15,11
Viktor Axelsen,wins by landing,smash,opponent wins by landing,16,11
Ng Ka Long Angus,opponent landing judgment error,lob,landing judgment error,16,12
Ng Ka Long Angus,opponent goes out of bounds,lob,goes out of bounds,16,13
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,17,13
Ng Ka Long Angus,opponent fails to clear the net,return net,fails to clear the net,17,14
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,18,14
Viktor Axelsen,opponent hits the net,net shot,hits the net,19,14
Viktor Axelsen,opponent goes out of bounds,drop,goes out of bounds,20,14
Viktor Axelsen,opponent fails to clear the net,net shot,fails to clear the net,21,14
