win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Ratchanok Intanon,opponent goes out of bounds,drop,goes out of bounds,0,1
An Se Young,opponent goes out of bounds,smash,goes out of bounds,1,1
Ratchanok Intanon,opponent fails to clear the net,return net,fails to clear the net,1,2
An Se Young,opponent hits the net,net shot,hits the net,2,2
An Se Young,opponent hits the net,cross-court net shot,hits the net,3,2
An Se Young,opponent hits the net,cross-court net shot,hits the net,4,2
An Se Young,opponent hits the net,cross-court net shot,hits the net,5,2
Ratchanok Intanon,opponent goes out of bounds,smash,goes out of bounds,5,3
Ratchanok Intanon,opponent fails to clear the net,net shot,fails to clear the net,5,4
Ratchanok Intanon,opponent goes out of bounds,lob,goes out of bounds,5,5
An Se Young,opponent hits the net,net shot,hits the net,6,5
Ratchanok Intanon,wins by landing,smash,opponent wins by landing,6,6
An Se Young,opponent hits the net,drive,hits the net,7,6
An Se Young,opponent goes out of bounds,wrist smash,goes out of bounds,8,6
Ratchanok Intanon,opponent hits the net,smash,hits the net,8,7
Ratchanok Intanon,opponent hits the net,net shot,hits the net,8,8
An Se Young,opponent goes out of bounds,smash,goes out of bounds,9,8
An Se Young,opponent fails to clear the net,defensive return drive,fails to clear the net,10,8
Ratchanok Intanon,wins by landing,defensive return drive,opponent wins by landing,10,9
Ratchanok Intanon,opponent hits the net,net shot,hits the net,10,10
An Se Young,opponent goes out of bounds,push,goes out of bounds,11,10
Ratchanok Intanon,opponent hits the net,defensive return drive,hits the net,11,11
An Se Young,opponent hits the net,cross-court net shot,hits the net,12,11
Ratchanok Intanon,opponent goes out of bounds,lob,goes out of bounds,12,12
An Se Young,opponent hits the net,net shot,hits the net,13,12
An Se Young,opponent goes out of bounds,cross-court net shot,goes out of bounds,14,12
An Se Young,wins by landing,smash,opponent wins by landing,15,12
An Se Young,wins by landing,smash,opponent wins by landing,16,12
An Se Young,opponent hits the net,drop,hits the net,17,12
An Se Young,opponent goes out of bounds,smash,goes out of bounds,18,12
An Se Young,opponent hits the net,net shot,hits the net,19,12
An Se Young,opponent goes out of bounds,push,goes out of bounds,20,12
An Se Young,opponent hits the net,net shot,hits the net,21,12
