HSBC BWF WORLD TOUR FINALS 2020 Finals: Anders Antonsen v.s. Viktor Axelsen

Set 1:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
A,opponent goes out of bounds,lob,goes out of bounds,1,0
A,wins by landing,smash,opponent wins by landing,2,0
B,opponent fails to clear the net,lob,fails to clear the net,2,1
A,opponent hits the net,wrist smash,hits the net,3,1
B,wins by landing,smash,opponent wins by landing,3,2
A,wins by landing,net shot,opponent wins by landing,4,2
B,wins by landing,smash,opponent wins by landing,4,3
B,opponent goes out of bounds,smash,goes out of bounds,5,4
B,opponent hits the net,net shot,hits the net,5,5
A,opponent hits the net,net shot,hits the net,6,5
B,opponent fails to clear the net,return net,fails to clear the net,6,6
B,wins by landing,smash,opponent wins by landing,6,7
A,opponent goes out of bounds,lob,goes out of bounds,7,7
B,wins by landing,smash,opponent wins by landing,7,8
B,opponent fails to clear the net,return net,fails to clear the net,7,9
A,opponent goes out of bounds,defensive return drive,goes out of bounds,8,9
A,opponent goes out of bounds,back-court drive,goes out of bounds,9,9
A,wins by landing,smash,opponent wins by landing,10,9
A,opponent goes out of bounds,lob,goes out of bounds,11,9
A,wins by landing,lob,opponent wins by landing,12,9
A,wins by landing,smash,opponent wins by landing,13,9
B,opponent goes out of bounds,clear,goes out of bounds,13,10
A,opponent goes out of bounds,lob,goes out of bounds,14,10
B,wins by landing,rush,opponent wins by landing,14,11
B,opponent goes out of bounds,clear,goes out of bounds,14,12
B,opponent hits the net,cross-court net shot,hits the net,14,13
B,opponent fails to clear the net,return net,fails to clear the net,14,14
A,opponent goes out of bounds,push,goes out of bounds,15,14
A,opponent goes out of bounds,push,goes out of bounds,16,14
A,opponent goes out of bounds,lob,goes out of bounds,17,14
B,opponent hits the net,net shot,hits the net,17,15
A,wins by landing,smash,opponent wins by landing,18,15
A,opponent goes out of bounds,net shot,goes out of bounds,19,15
A,opponent hits the net,smash,hits the net,20,15
B,opponent goes out of bounds,drop,goes out of bounds,20,16
A,wins by landing,wrist smash,opponent wins by landing,21,16


Set 2:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
A,opponent goes out of bounds,push,goes out of bounds,1,0
A,opponent goes out of bounds,lob,goes out of bounds,2,0
B,wins by landing,smash,opponent wins by landing,2,1
B,wins by landing,smash,opponent wins by landing,2,2
B,wins by landing,rush,opponent wins by landing,2,3
A,wins by landing,smash,opponent wins by landing,3,3
A,wins by landing,rush,opponent wins by landing,4,3
B,opponent goes out of bounds,clear,goes out of bounds,4,4
B,opponent goes out of bounds,cross-court net shot,goes out of bounds,4,5
A,opponent hits the net,net shot,hits the net,5,5
A,opponent goes out of bounds,push,goes out of bounds,6,5
B,wins by landing,push,opponent wins by landing,6,6
A,wins by landing,net shot,opponent wins by landing,7,6
A,wins by landing,smash,opponent wins by landing,8,6
A,opponent fails to clear the net,return net,fails to clear the net,9,6
B,wins by landing,rush,opponent wins by landing,9,7
A,opponent hits the net,net shot,hits the net,10,7
B,opponent goes out of bounds,long service,goes out of bounds,10,8
A,opponent goes out of bounds,smash,goes out of bounds,11,8
B,opponent hits the net,passive drop,hits the net,11,9
A,opponent goes out of bounds,smash,goes out of bounds,12,9
A,wins by landing,rush,opponent wins by landing,13,9
A,wins by landing,smash,opponent wins by landing,14,9
A,opponent hits the net,net shot,hits the net,15,9
B,opponent goes out of bounds,push,goes out of bounds,15,10
B,opponent goes out of bounds,push,goes out of bounds,15,11
B,wins by landing,return net,opponent wins by landing,15,12
B,opponent hits the net,smash,hits the net,15,13
B,wins by landing,smash,opponent wins by landing,15,14
A,wins by landing,smash,opponent wins by landing,16,14
B,opponent goes out of bounds,lob,goes out of bounds,16,15
B,wins by landing,lob,opponent wins by landing,16,16
B,opponent fails to clear the net,return net,fails to clear the net,16,17
A,opponent hits the net,return net,hits the net,17,17
A,wins by landing,return net,opponent wins by landing,18,17
A,opponent goes out of bounds,return net,goes out of bounds,19,17
A,opponent fails to clear the net,return net,fails to clear the net,20,17
A,opponent goes out of bounds,drive,goes out of bounds,21,17


Set 3:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
B,opponent goes out of bounds,rush,goes out of bounds,0,1
B,wins by landing,long service,opponent wins by landing,0,2
B,opponent goes out of bounds,lob,goes out of bounds,0,3
B,opponent hits the net,net shot,hits the net,0,4
B,opponent goes out of bounds,lob,goes out of bounds,0,5
A,wins by landing,smash,opponent wins by landing,1,5
B,opponent hits the net,drop,hits the net,1,6
B,opponent fails to clear the net,return net,fails to clear the net,1,7
B,opponent hits the net,net shot,hits the net,1,8
B,opponent goes out of bounds,smash,goes out of bounds,1,9
B,opponent goes out of bounds,smash,goes out of bounds,1,10
B,opponent goes out of bounds,lob,goes out of bounds,1,11
B,opponent hits the net,net shot,hits the net,1,12
B,opponent goes out of bounds,smash,goes out of bounds,1,13
A,opponent goes out of bounds,long service,goes out of bounds,2,13
A,opponent fails to clear the net,return net,fails to clear the net,3,13
B,opponent goes out of bounds,cross-court net shot,goes out of bounds,3,14
B,wins by landing,smash,opponent wins by landing,3,15
B,opponent hits the net,wrist smash,hits the net,3,16
A,opponent goes out of bounds,smash,goes out of bounds,4,16
B,wins by landing,lob,opponent wins by landing,4,17
B,opponent goes out of bounds,return net,goes out of bounds,4,18
A,wins by landing,smash,opponent wins by landing,5,18
B,opponent goes out of bounds,passive drop,goes out of bounds,5,19
B,wins by landing,long service,opponent wins by landing,5,20
B,opponent goes out of bounds,passive drop,goes out of bounds,5,21
