Denmark Open 2018 Finals: Kento MOMOTA v.s. CHOU Tien Chen

Set 1:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
B,opponent goes out of bounds,clear,goes out of bounds,0,1
A,opponent hits the net,net shot,hits the net,1,1
B,wins by landing,drop,opponent wins by landing,1,2
B,opponent goes out of bounds,lob,goes out of bounds,1,3
B,opponent goes out of bounds,lob,goes out of bounds,1,4
A,wins by landing,smash,opponent wins by landing,2,4
B,opponent goes out of bounds,lob,goes out of bounds,2,5
A,wins by landing,rush,opponent wins by landing,3,5
B,opponent fails to clear the net,net shot,fails to clear the net,3,6
A,opponent goes out of bounds,clear,goes out of bounds,4,6
B,opponent goes out of bounds,return net,goes out of bounds,4,7
A,opponent goes out of bounds,lob,goes out of bounds,5,7
A,opponent hits the net,net shot,hits the net,6,7
A,opponent goes out of bounds,lob,goes out of bounds,7,7
B,opponent goes out of bounds,push,goes out of bounds,7,8
B,wins by landing,smash,opponent wins by landing,7,9
A,opponent fails to clear the net,return net,fails to clear the net,8,9
B,wins by landing,smash,opponent wins by landing,8,10
A,unknown,clear,unknown,9,10
B,unknown,return net,unknown,9,11
B,wins by landing,wrist smash,opponent wins by landing,9,12
B,wins by landing,smash,opponent wins by landing,9,13
A,wins by landing,smash,opponent wins by landing,10,13
A,wins by landing,return net,opponent wins by landing,11,14
A,opponent hits the net,return net,hits the net,12,14
A,opponent goes out of bounds,smash,goes out of bounds,13,14
B,wins by landing,smash,opponent wins by landing,13,15
A,opponent fails to clear the net,return net,fails to clear the net,14,15
A,opponent hits the net,net shot,hits the net,15,15
A,opponent fails to clear the net,return net,fails to clear the net,16,15
A,opponent hits the net,return net,hits the net,17,15
B,opponent goes out of bounds,return net,goes out of bounds,17,16
A,opponent hits the net,cross-court net shot,hits the net,18,16
B,wins by landing,smash,opponent wins by landing,18,17
A,wins by landing,cross-court net shot,opponent wins by landing,19,17
A,opponent goes out of bounds,lob,goes out of bounds,20,17
B,wins by landing,drive,opponent wins by landing,20,18
B,wins by landing,cross-court net shot,opponent wins by landing,20,19
B,wins by landing,smash,opponent wins by landing,20,20
A,wins by landing,rush,opponent wins by landing,21,20
A,wins by landing,net shot,opponent wins by landing,22,20


Set 2:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
B,wins by landing,smash,opponent wins by landing,0,1
B,wins by landing,smash,opponent wins by landing,0,2
A,opponent goes out of bounds,push,goes out of bounds,1,2
B,opponent hits the net,drop,hits the net,2,3
A,wins by landing,smash,opponent wins by landing,3,3
B,opponent fails to clear the net,defensive return drive,fails to clear the net,3,4
A,opponent goes out of bounds,push,goes out of bounds,4,4
A,opponent goes out of bounds,lob,goes out of bounds,5,4
A,opponent hits the net,net shot,hits the net,6,4
B,wins by landing,smash,opponent wins by landing,6,5
A,opponent hits the net,net shot,hits the net,7,5
B,opponent goes out of bounds,return net,goes out of bounds,7,6
B,opponent goes out of bounds,lob,goes out of bounds,7,7
A,opponent goes out of bounds,lob,goes out of bounds,8,7
B,opponent goes out of bounds,rush,goes out of bounds,9,8
B,opponent goes out of bounds,clear,goes out of bounds,9,9
A,wins by landing,smash,opponent wins by landing,10,9
B,opponent hits the net,wrist smash,hits the net,10,10
A,opponent goes out of bounds,clear,goes out of bounds,11,10
B,wins by landing,smash,opponent wins by landing,11,11
B,opponent goes out of bounds,lob,goes out of bounds,11,12
B,opponent goes out of bounds,lob,goes out of bounds,11,13
A,opponent hits the net,net shot,hits the net,12,13
A,opponent goes out of bounds,lob,goes out of bounds,13,13
A,wins by landing,smash,opponent wins by landing,14,13
A,wins by landing,smash,opponent wins by landing,15,13
A,opponent fails to clear the net,return net,fails to clear the net,16,13
