win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
A,opponent goes out of bounds,smash,goes out of bounds,1,0
A,opponent goes out of bounds,defensive return drive,goes out of bounds,2,0
A,opponent hits the net,smash,hits the net,3,0
A,wins by landing,smash,opponent wins by landing,4,0
A,wins by landing,drop,opponent wins by landing,5,0
A,opponent goes out of bounds,clear,goes out of bounds,6,0
A,wins by landing,clear,opponent wins by landing,7,0
B,wins by landing,push,opponent wins by landing,7,1
A,opponent goes out of bounds,wrist smash,goes out of bounds,8,1
B,opponent hits the net,passive drop,hits the net,8,2
A,wins by landing,rush,opponent wins by landing,9,2
B,wins by landing,cross-court net shot,opponent wins by landing,9,3
A,opponent fails to clear the net,cross-court net shot,fails to clear the net,10,3
B,wins by landing,rush,opponent wins by landing,10,4
A,opponent goes out of bounds,push,goes out of bounds,11,4
A,wins by landing,smash,opponent wins by landing,12,4
B,opponent goes out of bounds,smash,goes out of bounds,12,5
A,opponent fails to clear the net,cross-court net shot,fails to clear the net,13,5
B,opponent goes out of bounds,return net,goes out of bounds,13,6
B,wins by landing,smash,opponent wins by landing,13,7
B,wins by landing,wrist smash,opponent wins by landing,13,8
A,wins by landing,drop,opponent wins by landing,14,8
A,opponent fails to clear the net,return net,fails to clear the net,15,8
A,wins by landing,rush,opponent wins by landing,16,8
B,opponent goes out of bounds,lob,goes out of bounds,16,9
B,wins by landing,defensive return drive,opponent wins by landing,16,10
A,wins by landing,smash,opponent wins by landing,17,10
B,opponent goes out of bounds,clear,goes out of bounds,17,11
A,opponent goes out of bounds,clear,goes out of bounds,18,11
A,wins by landing,push,opponent wins by landing,19,11
B,opponent goes out of bounds,passive drop,goes out of bounds,19,12
B,opponent goes out of bounds,return net,goes out of bounds,19,13
B,wins by landing,push,opponent wins by landing,19,14
A,wins by landing,rush,opponent wins by landing,20,14
B,opponent fails to clear the net,return net,fails to clear the net,20,15
A,wins by landing,lob,opponent wins by landing,21,15
